Date,Market Cap
2023-04-25,1800.0
2023-04-24,1800.0
2023-04-21,1800.0
2023-04-20,1800.0
2023-04-19,1800.0
2023-04-18,1800.0
2023-04-17,1800.0
2023-04-14,1800.0
2023-04-13,1800.0
2023-04-12,1800.0
2023-04-11,1800.0
2023-04-10,1800.0
2023-04-06,1800.0
2023-04-05,1800.0
2023-04-04,1800.0
2023-04-03,1800.0
2023-03-31,1800.0
2023-03-30,1800.0
2023-03-29,1800.0
2023-03-28,1800.0
2023-03-27,1800.0
2023-03-24,1800.0
2023-03-23,1800.0
2023-03-22,1800.0
2023-03-21,1800.0
2023-03-20,1800.0
2023-03-17,1800.0
2023-03-16,1800.0
2023-03-15,1800.0
2023-03-14,1800.0
2023-03-13,1800.0
2023-03-10,1800.0
2023-03-09,1800.0
2023-03-08,1800.0
2023-03-07,1800.0
2023-03-06,1800.0
2023-03-03,1800.0
2023-03-02,1800.0
2023-03-01,1800.0
2023-02-28,1800.0
2023-02-27,1800.0
2023-02-24,1800.0
2023-02-23,1800.0
2023-02-22,1800.0
2023-02-21,1800.0
2023-02-17,1800.0
2023-02-16,1800.0
2023-02-15,1800.0
2023-02-14,1800.0
2023-02-13,1800.0
2023-02-10,1800.0
2023-02-09,1800.0
2023-02-08,1800.0
2023-02-07,1800.0
2023-02-06,1800.0
2023-02-03,1800.0
2023-02-02,1800.0
2023-02-01,1800.0
2023-01-31,1800.0
2023-01-30,1800.0
2023-01-27,1800.0
2023-01-26,1800.0
2023-01-25,1800.0
2023-01-24,1800.0
2023-01-23,1800.0
2023-01-20,1800.0
2023-01-19,1800.0
2023-01-18,1800.0
2023-01-17,1800.0
2023-01-13,1800.0
2023-01-12,1800.0
2023-01-11,1800.0
2023-01-10,1800.0
2023-01-09,1800.0
2023-01-06,1800.0
2023-01-05,1800.0
2023-01-04,1800.0
2023-01-03,1800.0
2022-12-30,1800.0
2022-12-29,1800.0
2022-12-28,1800.0
2022-12-27,1800.0
2022-12-23,1800.0
2022-12-22,1800.0
2022-12-21,1800.0
2022-12-20,1800.0
2022-12-19,1800.0
2022-12-16,1800.0
2022-12-15,1800.0
2022-12-14,1800.0
2022-12-13,1800.0
2022-12-12,1800.0
2022-12-09,1800.0
2022-12-08,1800.0
2022-12-07,1800.0
2022-12-06,1800.0
2022-12-05,1800.0
2022-12-02,1800.0
2022-12-01,1800.0
2022-11-30,1800.0
2022-11-29,1800.0
2022-11-28,1800.0
2022-11-25,1800.0
2022-11-22,1800.0
2022-11-21,1800.0
2022-11-18,1800.0
2022-11-17,1800.0
2022-11-16,1800.0
2022-11-15,1800.0
2022-11-14,1800.0
2022-11-11,1800.0
2022-11-10,1800.0
2022-11-09,1800.0
2022-11-08,1800.0
2022-11-07,1800.0
2022-11-04,1800.0
2022-11-03,1800.0
2022-11-02,1800.0
2022-11-01,1800.0
2022-10-28,1800.0
2022-10-27,1800.0
2022-10-26,1800.0
2022-10-25,1800.0
2022-10-24,1800.0
2022-10-21,1800.0
2022-10-20,1800.0
2022-10-19,1800.0
2022-10-18,1800.0
2022-10-17,1800.0
2022-10-14,1800.0
2022-10-13,1800.0
2022-10-12,1800.0
2022-10-11,1800.0
2022-10-10,1800.0
2022-10-07,1800.0
2022-10-06,1800.0
2022-10-05,1800.0
2022-10-04,1800.0
2022-10-03,1800.0
2022-09-30,1800.0
2022-09-29,1800.0
2022-09-28,1800.0
2022-09-27,1800.0
2022-09-26,1800.0
2022-09-23,1800.0
2022-09-22,1800.0
2022-09-21,1800.0
2022-09-20,1800.0
2022-09-19,1800.0
2022-09-16,1800.0
2022-09-15,1800.0
2022-09-14,1800.0
2022-09-13,1800.0
2022-09-12,1800.0
2022-09-09,1800.0
2022-09-08,1800.0
2022-09-07,1800.0
2022-09-06,1800.0
2022-09-02,1800.0
2022-09-01,1800.0
2022-08-31,1800.0
2022-08-30,1800.0
2022-08-29,1800.0
2022-08-26,1800.0
2022-08-25,1800.0
2022-08-24,1800.0
2022-08-23,1800.0
2022-08-22,1800.0
2022-08-19,1800.0
2022-08-18,1800.0
2022-08-17,1800.0
2022-08-16,1800.0
2022-08-15,1800.0
2022-08-12,1800.0
2022-08-11,1800.0
2022-08-10,1800.0
2022-08-09,1800.0
2022-08-08,1800.0
2022-08-05,1800.0
2022-08-04,1800.0
2022-08-03,1800.0
2022-08-02,1800.0
2022-08-01,1800.0
2022-07-29,1800.0
2022-07-27,1800.0
