Date,Market Cap
2023-04-25,400.0
2023-04-24,400.0
2023-04-21,400.0
2023-04-20,400.0
2023-04-19,400.0
2023-04-18,400.0
2023-04-17,400.0
2023-04-14,400.0
2023-04-13,400.0
2023-04-12,400.0
2023-04-11,400.0
2023-04-10,400.0
2023-04-06,400.0
2023-04-05,400.0
2023-04-04,400.0
2023-04-03,400.0
2023-03-31,400.0
2023-03-30,400.0
2023-03-29,400.0
2023-03-28,400.0
2023-03-27,400.0
2023-03-24,400.0
2023-03-23,400.0
2023-03-22,400.0
2023-03-21,400.0
2023-03-20,400.0
2023-03-17,400.0
2023-03-16,400.0
2023-03-15,400.0
2023-03-14,400.0
2023-03-13,400.0
2023-03-10,400.0
2023-03-09,400.0
2023-03-08,400.0
2023-03-07,400.0
2023-03-06,400.0
2023-03-03,400.0
2023-03-02,400.0
2023-03-01,400.0
2023-02-28,400.0
2023-02-27,400.0
2023-02-24,400.0
2023-02-23,400.0
2023-02-22,400.0
2023-02-21,400.0
2023-02-17,400.0
2023-02-16,400.0
2023-02-15,400.0
2023-02-14,400.0
2023-02-13,400.0
2023-02-10,400.0
2023-02-09,400.0
2023-02-08,400.0
2023-02-07,400.0
2023-02-06,400.0
2023-02-03,400.0
2023-02-02,400.0
2023-02-01,400.0
2023-01-31,400.0
2023-01-30,400.0
2023-01-27,400.0
2023-01-26,400.0
2023-01-25,400.0
2023-01-24,400.0
2023-01-23,400.0
2023-01-20,400.0
2023-01-19,400.0
2023-01-18,400.0
2023-01-17,400.0
2023-01-13,400.0
2023-01-12,400.0
2023-01-11,400.0
2023-01-10,400.0
2023-01-09,400.0
2023-01-06,400.0
2023-01-05,400.0
2023-01-04,400.0
2023-01-03,400.0
2022-12-30,400.0
2022-12-29,400.0
2022-12-28,400.0
2022-12-27,400.0
2022-12-23,400.0
2022-12-22,400.0
2022-12-21,400.0
2022-12-20,400.0
2022-12-19,400.0
2022-12-16,400.0
2022-12-15,400.0
2022-12-14,400.0
2022-12-13,400.0
2022-12-12,400.0
2022-12-09,400.0
2022-12-08,400.0
2022-12-07,400.0
2022-12-06,400.0
2022-12-05,400.0
2022-12-02,400.0
2022-12-01,400.0
2022-11-30,400.0
2022-11-29,400.0
2022-11-28,400.0
2022-11-25,400.0
2022-11-22,400.0
2022-11-21,400.0
2022-11-18,400.0
2022-11-17,400.0
2022-11-16,400.0
2022-11-15,400.0
2022-11-14,400.0
2022-11-11,400.0
2022-11-10,400.0
2022-11-09,400.0
2022-11-08,400.0
2022-11-07,400.0
2022-11-04,400.0
2022-11-03,400.0
2022-11-02,400.0
2022-11-01,400.0
2021-12-17,400.0
2021-12-16,400.0
2021-12-15,400.0
2021-12-14,400.0
2021-12-13,400.0
2021-12-10,400.0
2021-12-09,400.0
2021-12-08,400.0
2021-12-07,400.0
2021-12-06,400.0
2021-12-03,400.0
2021-12-02,400.0
2021-12-01,400.0
2021-11-30,400.0
2021-11-29,400.0
2021-11-26,400.0
2021-09-29,900.0
2021-09-28,900.0
2021-09-27,900.0
2021-09-24,900.0
2021-09-23,900.0
2021-09-22,900.0
2021-09-21,900.0
2021-09-20,900.0
2021-09-17,900.0
2021-09-16,900.0
2021-09-15,900.0
2021-09-14,900.0
2021-09-13,900.0
2021-09-10,900.0
2021-09-09,900.0
2021-09-08,900.0
2021-09-07,223300.0
2021-09-03,223300.0
2021-09-02,900.0
2021-09-01,900.0
2021-08-31,900.0
2021-08-30,900.0
2021-08-27,900.0
2021-08-26,900.0
2021-08-23,625600.0
2021-08-20,625600.0
2021-08-19,625600.0
2021-08-18,625600.0
2021-08-17,625600.0
2021-08-16,625600.0
2021-08-13,625600.0
2021-08-12,625600.0
2021-08-11,625600.0
2021-08-10,625600.0
2021-08-09,625600.0
2021-08-06,625600.0
2021-08-05,625600.0
2021-08-04,625600.0
2021-08-03,625600.0
2021-08-02,625600.0
2021-07-30,625600.0
2021-07-29,625600.0
2021-07-28,625600.0
2021-07-27,625600.0
2021-07-26,625600.0
2021-07-23,625600.0
2021-06-15,626900.0
2021-06-14,626900.0
2021-06-11,626900.0
2021-06-10,626900.0
2021-06-09,626900.0
2021-06-08,626900.0
2021-06-07,626900.0
2021-06-04,626900.0
2021-06-03,626900.0
2021-06-02,626900.0
2021-06-01,626900.0
2021-05-28,626900.0
